		TP	FP	FN			Precision	Recall
us_RdBu_6_pos_large1.jpg		4	0	2		"104, 169, 207]33, 101, 172"	1	0.666666667
us_RdBu_6_pos_small.jpg		6	1	0	"[116, 129, 137]"		0.857142857	1
us_RdBu_6_pos_small1.jpg		6	1	0	"117, 136, 134"		0.857142857	1
us_RdBu_8_neg.jpg		8	1	0	"138, 125, 108"		0.888888889	1
us_RdBu_8_neg1.jpg		8	0	0			1	1
us_RdBu_8_nonAuto.jpg		8	1	0	"122, 141, 148"		0.888888889	1
us_RdBu_8_nonAuto1.jpg		6	1	2	"104, 138, 165"	"177, 24, 44]244, 166, 130"	0.857142857	0.75
us_RdBu_8_pos_large.jpg		8	1	0	"44, 120, 108"		0.888888889	1
us_RdBu_8_pos_large1.jpg		7	2	1	"118, 132, 135]93, 138, 171"	"33, 101, 172)"	0.777777778	0.875
us_RdBu_8_pos_small.jpg		6	2	2	"[110, 133, 151], [94, 141, 157]"	"177, 24, 44]244, 166, 130"	0.75	0.75
us_RdBu_8_pos_small1.jpg		8	1	0	"108, 124, 140"		0.888888889	1
						All	0.952318948	0.973958333
						US	0.904637897	0.947916667
